type,client,tx,amount
deposit,1892,3786,2.0
dispute,1892,3786,
chargeback,1892,3786,
deposit,1893,3786,2.0
dispute,1893,3786,
resolve,1893,3786,
withdrawal,1893,3787,1.5
dispute,1893,3787,
resolve,1893,3787,
deposit,1893,3788,2.0
dispute,1893,3788,
chargeback,1893,3788,
deposit,1894,3788,2.0
dispute,1894,3788,
resolve,1894,3788,
withdrawal,1894,3789,1.5
dispute,1894,3789,
resolve,1894,3789,
deposit,1894,3790,2.0
dispute,1894,3790,
chargeback,1894,3790,
deposit,1895,3790,2.0
dispute,1895,3790,
resolve,1895,3790,
withdrawal,1895,3791,1.5
dispute,1895,3791,
resolve,1895,3791,
deposit,1895,3792,2.0
dispute,1895,3792,
chargeback,1895,3792,
deposit,1896,3792,2.0
dispute,1896,3792,
resolve,1896,3792,
withdrawal,1896,3793,1.5
dispute,1896,3793,
resolve,1896,3793,
deposit,1896,3794,2.0
dispute,1896,3794,
chargeback,1896,3794,
deposit,1897,3794,2.0
dispute,1897,3794,
resolve,1897,3794,
withdrawal,1897,3795,1.5
dispute,1897,3795,
resolve,1897,3795,
deposit,1897,3796,2.0
dispute,1897,3796,
chargeback,1897,3796,
deposit,1898,3796,2.0
dispute,1898,3796,
resolve,1898,3796,
withdrawal,1898,3797,1.5
dispute,1898,3797,
resolve,1898,3797,
deposit,1898,3798,2.0
dispute,1898,3798,
chargeback,1898,3798,
deposit,1899,3798,2.0
dispute,1899,3798,
resolve,1899,3798,
withdrawal,1899,3799,1.5
dispute,1899,3799,
resolve,1899,3799,
deposit,1899,3800,2.0
dispute,1899,3800,
chargeback,1899,3800,
deposit,1900,3800,2.0
dispute,1900,3800,
resolve,1900,3800,
withdrawal,1900,3801,1.5
dispute,1900,3801,
resolve,1900,3801,
deposit,1900,3802,2.0
dispute,1900,3802,
chargeback,1900,3802,
deposit,1901,3802,2.0
dispute,1901,3802,
resolve,1901,3802,
withdrawal,1901,3803,1.5
dispute,1901,3803,
resolve,1901,3803,
deposit,1901,3804,2.0
dispute,1901,3804,
chargeback,1901,3804,
deposit,1902,3804,2.0
dispute,1902,3804,
resolve,1902,3804,
withdrawal,1902,3805,1.5
dispute,1902,3805,
resolve,1902,3805,
deposit,1902,3806,2.0
dispute,1902,3806,
chargeback,1902,3806,
deposit,1903,3806,2.0
dispute,1903,3806,
resolve,1903,3806,
withdrawal,1903,3807,1.5
dispute,1903,3807,
resolve,1903,3807,
deposit,1903,3808,2.0
dispute,1903,3808,
chargeback,1903,3808,
deposit,1904,3808,2.0
dispute,1904,3808,
resolve,1904,3808,
withdrawal,1904,3809,1.5
dispute,1904,3809,
resolve,1904,3809,
deposit,1904,3810,2.0
dispute,1904,3810,
chargeback,1904,3810,
deposit,1905,3810,2.0
dispute,1905,3810,
resolve,1905,3810,
withdrawal,1905,3811,1.5
dispute,1905,3811,
resolve,1905,3811,
deposit,1905,3812,2.0
dispute,1905,3812,
chargeback,1905,3812,
deposit,1906,3812,2.0
dispute,1906,3812,
resolve,1906,3812,
withdrawal,1906,3813,1.5
dispute,1906,3813,
resolve,1906,3813,
deposit,1906,3814,2.0
dispute,1906,3814,
chargeback,1906,3814,
deposit,1907,3814,2.0
dispute,1907,3814,
resolve,1907,3814,
withdrawal,1907,3815,1.5
dispute,1907,3815,
resolve,1907,3815,
deposit,1907,3816,2.0
dispute,1907,3816,
chargeback,1907,3816,
deposit,1908,3816,2.0
dispute,1908,3816,
resolve,1908,3816,
withdrawal,1908,3817,1.5
dispute,1908,3817,
resolve,1908,3817,
deposit,1908,3818,2.0
dispute,1908,3818,
chargeback,1908,3818,
deposit,1909,3818,2.0
dispute,1909,3818,
resolve,1909,3818,
withdrawal,1909,3819,1.5
dispute,1909,3819,
resolve,1909,3819,
deposit,1909,3820,2.0
dispute,1909,3820,
chargeback,1909,3820,
deposit,1910,3820,2.0
dispute,1910,3820,
resolve,1910,3820,
withdrawal,1910,3821,1.5
dispute,1910,3821,
resolve,1910,3821,
deposit,1910,3822,2.0
dispute,1910,3822,
chargeback,1910,3822,
deposit,1911,3822,2.0
dispute,1911,3822,
resolve,1911,3822,
withdrawal,1911,3823,1.5
dispute,1911,3823,
resolve,1911,3823,
deposit,1911,3824,2.0
dispute,1911,3824,
chargeback,1911,3824,
deposit,1912,3824,2.0
dispute,1912,3824,
resolve,1912,3824,
withdrawal,1912,3825,1.5
dispute,1912,3825,
resolve,1912,3825,
deposit,1912,3826,2.0
dispute,1912,3826,
chargeback,1912,3826,
deposit,1913,3826,2.0
dispute,1913,3826,
resolve,1913,3826,
withdrawal,1913,3827,1.5
dispute,1913,3827,
resolve,1913,3827,
deposit,1913,3828,2.0
dispute,1913,3828,
chargeback,1913,3828,
deposit,1914,3828,2.0
dispute,1914,3828,
resolve,1914,3828,
withdrawal,1914,3829,1.5
dispute,1914,3829,
resolve,1914,3829,
deposit,1914,3830,2.0
dispute,1914,3830,
chargeback,1914,3830,
deposit,1915,3830,2.0
dispute,1915,3830,
resolve,1915,3830,
withdrawal,1915,3831,1.5
dispute,1915,3831,
resolve,1915,3831,
deposit,1915,3832,2.0
dispute,1915,3832,
chargeback,1915,3832,
deposit,1916,3832,2.0
dispute,1916,3832,
resolve,1916,3832,
withdrawal,1916,3833,1.5
dispute,1916,3833,
resolve,1916,3833,
deposit,1916,3834,2.0
dispute,1916,3834,
chargeback,1916,3834,
deposit,1917,3834,2.0
dispute,1917,3834,
resolve,1917,3834,
withdrawal,1917,3835,1.5
dispute,1917,3835,
resolve,1917,3835,
deposit,1917,3836,2.0
dispute,1917,3836,
chargeback,1917,3836,
deposit,1918,3836,2.0
dispute,1918,3836,
resolve,1918,3836,
withdrawal,1918,3837,1.5
dispute,1918,3837,
resolve,1918,3837,
deposit,1918,3838,2.0
dispute,1918,3838,
chargeback,1918,3838,
deposit,1919,3838,2.0
dispute,1919,3838,
resolve,1919,3838,
withdrawal,1919,3839,1.5
dispute,1919,3839,
resolve,1919,3839,
deposit,1919,3840,2.0
dispute,1919,3840,
chargeback,1919,3840,
deposit,1920,3840,2.0
dispute,1920,3840,
resolve,1920,3840,
withdrawal,1920,3841,1.5
dispute,1920,3841,
resolve,1920,3841,
deposit,1920,3842,2.0
dispute,1920,3842,
chargeback,1920,3842,
deposit,1921,3842,2.0
dispute,1921,3842,
resolve,1921,3842,
withdrawal,1921,3843,1.5
dispute,1921,3843,
resolve,1921,3843,
deposit,1921,3844,2.0
dispute,1921,3844,
chargeback,1921,3844,
deposit,1922,3844,2.0
dispute,1922,3844,
resolve,1922,3844,
withdrawal,1922,3845,1.5
dispute,1922,3845,
resolve,1922,3845,
deposit,1922,3846,2.0
dispute,1922,3846,
chargeback,1922,3846,
deposit,1923,3846,2.0
dispute,1923,3846,
resolve,1923,3846,
withdrawal,1923,3847,1.5
dispute,1923,3847,
resolve,1923,3847,
deposit,1923,3848,2.0
dispute,1923,3848,
chargeback,1923,3848,
deposit,1924,3848,2.0
dispute,1924,3848,
resolve,1924,3848,
withdrawal,1924,3849,1.5
dispute,1924,3849,
resolve,1924,3849,
deposit,1924,3850,2.0
dispute,1924,3850,
chargeback,1924,3850,
deposit,1925,3850,2.0
dispute,1925,3850,
resolve,1925,3850,
withdrawal,1925,3851,1.5
dispute,1925,3851,
resolve,1925,3851,
deposit,1925,3852,2.0
dispute,1925,3852,
chargeback,1925,3852,
deposit,1926,3852,2.0
dispute,1926,3852,
resolve,1926,3852,
withdrawal,1926,3853,1.5
dispute,1926,3853,
resolve,1926,3853,
deposit,1926,3854,2.0
dispute,1926,3854,
chargeback,1926,3854,
deposit,1927,3854,2.0
dispute,1927,3854,
resolve,1927,3854,
withdrawal,1927,3855,1.5
dispute,1927,3855,
resolve,1927,3855,
deposit,1927,3856,2.0
dispute,1927,3856,
chargeback,1927,3856,
deposit,1928,3856,2.0
dispute,1928,3856,
resolve,1928,3856,
withdrawal,1928,3857,1.5
dispute,1928,3857,
resolve,1928,3857,
deposit,1928,3858,2.0
dispute,1928,3858,
chargeback,1928,3858,
deposit,1929,3858,2.0
dispute,1929,3858,
resolve,1929,3858,
withdrawal,1929,3859,1.5
dispute,1929,3859,
resolve,1929,3859,
deposit,1929,3860,2.0
dispute,1929,3860,
chargeback,1929,3860,
deposit,1930,3860,2.0
dispute,1930,3860,
resolve,1930,3860,
withdrawal,1930,3861,1.5
dispute,1930,3861,
resolve,1930,3861,
deposit,1930,3862,2.0
dispute,1930,3862,
chargeback,1930,3862,
deposit,1931,3862,2.0
dispute,1931,3862,
resolve,1931,3862,
withdrawal,1931,3863,1.5
dispute,1931,3863,
resolve,1931,3863,
deposit,1931,3864,2.0
dispute,1931,3864,
chargeback,1931,3864,
deposit,1932,3864,2.0
dispute,1932,3864,
resolve,1932,3864,
withdrawal,1932,3865,1.5
dispute,1932,3865,
resolve,1932,3865,
deposit,1932,3866,2.0
dispute,1932,3866,
chargeback,1932,3866,
deposit,1933,3866,2.0
dispute,1933,3866,
resolve,1933,3866,
withdrawal,1933,3867,1.5
dispute,1933,3867,
resolve,1933,3867,
deposit,1933,3868,2.0
dispute,1933,3868,
chargeback,1933,3868,
deposit,1934,3868,2.0
dispute,1934,3868,
resolve,1934,3868,
withdrawal,1934,3869,1.5
dispute,1934,3869,
resolve,1934,3869,
deposit,1934,3870,2.0
dispute,1934,3870,
chargeback,1934,3870,
deposit,1935,3870,2.0
dispute,1935,3870,
resolve,1935,3870,
withdrawal,1935,3871,1.5
dispute,1935,3871,
resolve,1935,3871,
deposit,1935,3872,2.0
dispute,1935,3872,
chargeback,1935,3872,
deposit,1936,3872,2.0
dispute,1936,3872,
resolve,1936,3872,
withdrawal,1936,3873,1.5
dispute,1936,3873,
resolve,1936,3873,
deposit,1936,3874,2.0
dispute,1936,3874,
chargeback,1936,3874,
deposit,1937,3874,2.0
dispute,1937,3874,
resolve,1937,3874,
withdrawal,1937,3875,1.5
dispute,1937,3875,
resolve,1937,3875,
deposit,1937,3876,2.0
dispute,1937,3876,
chargeback,1937,3876,
deposit,1938,3876,2.0
dispute,1938,3876,
resolve,1938,3876,
withdrawal,1938,3877,1.5
dispute,1938,3877,
resolve,1938,3877,
deposit,1938,3878,2.0
dispute,1938,3878,
chargeback,1938,3878,
deposit,1939,3878,2.0
dispute,1939,3878,
resolve,1939,3878,
withdrawal,1939,3879,1.5
dispute,1939,3879,
resolve,1939,3879,
deposit,1939,3880,2.0
dispute,1939,3880,
chargeback,1939,3880,
deposit,1940,3880,2.0
dispute,1940,3880,
resolve,1940,3880,
withdrawal,1940,3881,1.5
dispute,1940,3881,
resolve,1940,3881,
deposit,1940,3882,2.0
dispute,1940,3882,
chargeback,1940,3882,
deposit,1941,3882,2.0
dispute,1941,3882,
resolve,1941,3882,
withdrawal,1941,3883,1.5
dispute,1941,3883,
resolve,1941,3883,
deposit,1941,3884,2.0
dispute,1941,3884,
chargeback,1941,3884,
deposit,1942,3884,2.0
dispute,1942,3884,
resolve,1942,3884,
withdrawal,1942,3885,1.5
dispute,1942,3885,
resolve,1942,3885,
deposit,1942,3886,2.0
dispute,1942,3886,
chargeback,1942,3886,
deposit,1943,3886,2.0
dispute,1943,3886,
resolve,1943,3886,
withdrawal,1943,3887,1.5
dispute,1943,3887,
resolve,1943,3887,
deposit,1943,3888,2.0
dispute,1943,3888,
chargeback,1943,3888,
deposit,1944,3888,2.0
dispute,1944,3888,
resolve,1944,3888,
withdrawal,1944,3889,1.5
dispute,1944,3889,
resolve,1944,3889,
deposit,1944,3890,2.0
dispute,1944,3890,
chargeback,1944,3890,
deposit,1945,3890,2.0
dispute,1945,3890,
resolve,1945,3890,
withdrawal,1945,3891,1.5
dispute,1945,3891,
resolve,1945,3891,
deposit,1945,3892,2.0
dispute,1945,3892,
chargeback,1945,3892,
deposit,1946,3892,2.0
dispute,1946,3892,
resolve,1946,3892,
withdrawal,1946,3893,1.5
dispute,1946,3893,
resolve,1946,3893,
deposit,1946,3894,2.0
dispute,1946,3894,
chargeback,1946,3894,
deposit,1947,3894,2.0
dispute,1947,3894,
resolve,1947,3894,
withdrawal,1947,3895,1.5
dispute,1947,3895,
resolve,1947,3895,
deposit,1947,3896,2.0
dispute,1947,3896,
chargeback,1947,3896,
deposit,1948,3896,2.0
dispute,1948,3896,
resolve,1948,3896,
withdrawal,1948,3897,1.5
dispute,1948,3897,
resolve,1948,3897,
deposit,1948,3898,2.0
dispute,1948,3898,
chargeback,1948,3898,
deposit,1949,3898,2.0
dispute,1949,3898,
resolve,1949,3898,
withdrawal,1949,3899,1.5
dispute,1949,3899,
resolve,1949,3899,
deposit,1949,3900,2.0
dispute,1949,3900,
chargeback,1949,3900,
deposit,1950,3900,2.0
dispute,1950,3900,
resolve,1950,3900,
withdrawal,1950,3901,1.5
dispute,1950,3901,
resolve,1950,3901,
deposit,1950,3902,2.0
dispute,1950,3902,
chargeback,1950,3902,
deposit,1951,3902,2.0
dispute,1951,3902,
resolve,1951,3902,
withdrawal,1951,3903,1.5
dispute,1951,3903,
resolve,1951,3903,
deposit,1951,3904,2.0
dispute,1951,3904,
chargeback,1951,3904,
deposit,1952,3904,2.0
dispute,1952,3904,
resolve,1952,3904,
withdrawal,1952,3905,1.5
dispute,1952,3905,
resolve,1952,3905,
deposit,1952,3906,2.0
dispute,1952,3906,
chargeback,1952,3906,
deposit,1953,3906,2.0
dispute,1953,3906,
resolve,1953,3906,
withdrawal,1953,3907,1.5
dispute,1953,3907,
resolve,1953,3907,
deposit,1953,3908,2.0
dispute,1953,3908,
chargeback,1953,3908,
deposit,1954,3908,2.0
dispute,1954,3908,
resolve,1954,3908,
withdrawal,1954,3909,1.5
dispute,1954,3909,
resolve,1954,3909,
deposit,1954,3910,2.0
dispute,1954,3910,
chargeback,1954,3910,
deposit,1955,3910,2.0
dispute,1955,3910,
resolve,1955,3910,
withdrawal,1955,3911,1.5
dispute,1955,3911,
resolve,1955,3911,
deposit,1955,3912,2.0
dispute,1955,3912,
chargeback,1955,3912,
deposit,1956,3912,2.0
dispute,1956,3912,
resolve,1956,3912,
withdrawal,1956,3913,1.5
dispute,1956,3913,
resolve,1956,3913,
deposit,1956,3914,2.0
dispute,1956,3914,
chargeback,1956,3914,
deposit,1957,3914,2.0
dispute,1957,3914,
resolve,1957,3914,
withdrawal,1957,3915,1.5
dispute,1957,3915,
resolve,1957,3915,
deposit,1957,3916,2.0
dispute,1957,3916,
chargeback,1957,3916,
deposit,1958,3916,2.0
dispute,1958,3916,
resolve,1958,3916,
withdrawal,1958,3917,1.5
dispute,1958,3917,
resolve,1958,3917,
deposit,1958,3918,2.0
dispute,1958,3918,
chargeback,1958,3918,
deposit,1959,3918,2.0
dispute,1959,3918,
resolve,1959,3918,
withdrawal,1959,3919,1.5
dispute,1959,3919,
resolve,1959,3919,
deposit,1959,3920,2.0
dispute,1959,3920,
chargeback,1959,3920,
deposit,1960,3920,2.0
dispute,1960,3920,
resolve,1960,3920,
withdrawal,1960,3921,1.5
dispute,1960,3921,
resolve,1960,3921,
deposit,1960,3922,2.0
dispute,1960,3922,
chargeback,1960,3922,
deposit,1961,3922,2.0
dispute,1961,3922,
resolve,1961,3922,
withdrawal,1961,3923,1.5
dispute,1961,3923,
resolve,1961,3923,
deposit,1961,3924,2.0
dispute,1961,3924,
chargeback,1961,3924,
deposit,1962,3924,2.0
dispute,1962,3924,
resolve,1962,3924,
withdrawal,1962,3925,1.5
dispute,1962,3925,
resolve,1962,3925,
deposit,1962,3926,2.0
dispute,1962,3926,
chargeback,1962,3926,
deposit,1963,3926,2.0
dispute,1963,3926,
resolve,1963,3926,
withdrawal,1963,3927,1.5
dispute,1963,3927,
resolve,1963,3927,
deposit,1963,3928,2.0
dispute,1963,3928,
chargeback,1963,3928,
deposit,1964,3928,2.0
dispute,1964,3928,
resolve,1964,3928,
withdrawal,1964,3929,1.5
dispute,1964,3929,
resolve,1964,3929,
deposit,1964,3930,2.0
dispute,1964,3930,
chargeback,1964,3930,
deposit,1965,3930,2.0
dispute,1965,3930,
resolve,1965,3930,
withdrawal,1965,3931,1.5
dispute,1965,3931,
resolve,1965,3931,
deposit,1965,3932,2.0
dispute,1965,3932,
chargeback,1965,3932,
deposit,1966,3932,2.0
dispute,1966,3932,
resolve,1966,3932,
withdrawal,1966,3933,1.5
dispute,1966,3933,
resolve,1966,3933,
deposit,1966,3934,2.0
dispute,1966,3934,
chargeback,1966,3934,
deposit,1967,3934,2.0
dispute,1967,3934,
resolve,1967,3934,
withdrawal,1967,3935,1.5
dispute,1967,3935,
resolve,1967,3935,
deposit,1967,3936,2.0
dispute,1967,3936,
chargeback,1967,3936,
deposit,1968,3936,2.0
dispute,1968,3936,
resolve,1968,3936,
withdrawal,1968,3937,1.5
dispute,1968,3937,
resolve,1968,3937,
deposit,1968,3938,2.0
dispute,1968,3938,
chargeback,1968,3938,
deposit,1969,3938,2.0
dispute,1969,3938,
resolve,1969,3938,
withdrawal,1969,3939,1.5
dispute,1969,3939,
resolve,1969,3939,
deposit,1969,3940,2.0
dispute,1969,3940,
chargeback,1969,3940,
deposit,1970,3940,2.0
dispute,1970,3940,
resolve,1970,3940,
withdrawal,1970,3941,1.5
dispute,1970,3941,
resolve,1970,3941,
deposit,1970,3942,2.0
dispute,1970,3942,
chargeback,1970,3942,
deposit,1971,3942,2.0
dispute,1971,3942,
resolve,1971,3942,
withdrawal,1971,3943,1.5
dispute,1971,3943,
resolve,1971,3943,
deposit,1971,3944,2.0
dispute,1971,3944,
chargeback,1971,3944,
deposit,1972,3944,2.0
dispute,1972,3944,
resolve,1972,3944,
withdrawal,1972,3945,1.5
dispute,1972,3945,
resolve,1972,3945,
deposit,1972,3946,2.0
dispute,1972,3946,
chargeback,1972,3946,
deposit,1973,3946,2.0
dispute,1973,3946,
resolve,1973,3946,
withdrawal,1973,3947,1.5
dispute,1973,3947,
resolve,1973,3947,
deposit,1973,3948,2.0
dispute,1973,3948,
chargeback,1973,3948,
deposit,1974,3948,2.0
dispute,1974,3948,
resolve,1974,3948,
withdrawal,1974,3949,1.5
dispute,1974,3949,
resolve,1974,3949,
deposit,1974,3950,2.0
dispute,1974,3950,
chargeback,1974,3950,
deposit,1975,3950,2.0
dispute,1975,3950,
resolve,1975,3950,
withdrawal,1975,3951,1.5
dispute,1975,3951,
resolve,1975,3951,
deposit,1975,3952,2.0
dispute,1975,3952,
chargeback,1975,3952,
deposit,1976,3952,2.0
dispute,1976,3952,
resolve,1976,3952,
withdrawal,1976,3953,1.5
dispute,1976,3953,
resolve,1976,3953,
deposit,1976,3954,2.0
dispute,1976,3954,
chargeback,1976,3954,
deposit,1977,3954,2.0
dispute,1977,3954,
resolve,1977,3954,
withdrawal,1977,3955,1.5
dispute,1977,3955,
resolve,1977,3955,
deposit,1977,3956,2.0
dispute,1977,3956,
chargeback,1977,3956,
deposit,1978,3956,2.0
dispute,1978,3956,
resolve,1978,3956,
withdrawal,1978,3957,1.5
dispute,1978,3957,
resolve,1978,3957,
deposit,1978,3958,2.0
dispute,1978,3958,
chargeback,1978,3958,
deposit,1979,3958,2.0
dispute,1979,3958,
resolve,1979,3958,
withdrawal,1979,3959,1.5
dispute,1979,3959,
resolve,1979,3959,
deposit,1979,3960,2.0
dispute,1979,3960,
chargeback,1979,3960,
deposit,1980,3960,2.0
dispute,1980,3960,
resolve,1980,3960,
withdrawal,1980,3961,1.5
dispute,1980,3961,
resolve,1980,3961,
deposit,1980,3962,2.0
dispute,1980,3962,
chargeback,1980,3962,
deposit,1981,3962,2.0
dispute,1981,3962,
resolve,1981,3962,
withdrawal,1981,3963,1.5
dispute,1981,3963,
resolve,1981,3963,
deposit,1981,3964,2.0
dispute,1981,3964,
chargeback,1981,3964,
deposit,1982,3964,2.0
dispute,1982,3964,
resolve,1982,3964,
withdrawal,1982,3965,1.5
dispute,1982,3965,
resolve,1982,3965,
deposit,1982,3966,2.0
dispute,1982,3966,
chargeback,1982,3966,
deposit,1983,3966,2.0
dispute,1983,3966,
resolve,1983,3966,
withdrawal,1983,3967,1.5
dispute,1983,3967,
resolve,1983,3967,
deposit,1983,3968,2.0
dispute,1983,3968,
chargeback,1983,3968,
deposit,1984,3968,2.0
dispute,1984,3968,
resolve,1984,3968,
withdrawal,1984,3969,1.5
dispute,1984,3969,
resolve,1984,3969,
deposit,1984,3970,2.0
dispute,1984,3970,
chargeback,1984,3970,
deposit,1985,3970,2.0
dispute,1985,3970,
resolve,1985,3970,
withdrawal,1985,3971,1.5
dispute,1985,3971,
resolve,1985,3971,
deposit,1985,3972,2.0
dispute,1985,3972,
chargeback,1985,3972,
deposit,1986,3972,2.0
dispute,1986,3972,
resolve,1986,3972,
withdrawal,1986,3973,1.5
dispute,1986,3973,
resolve,1986,3973,
deposit,1986,3974,2.0
dispute,1986,3974,
chargeback,1986,3974,
deposit,1987,3974,2.0
dispute,1987,3974,
resolve,1987,3974,
withdrawal,1987,3975,1.5
dispute,1987,3975,
resolve,1987,3975,
deposit,1987,3976,2.0
dispute,1987,3976,
chargeback,1987,3976,
deposit,1988,3976,2.0
dispute,1988,3976,
resolve,1988,3976,
withdrawal,1988,3977,1.5
dispute,1988,3977,
resolve,1988,3977,
deposit,1988,3978,2.0
dispute,1988,3978,
chargeback,1988,3978,
deposit,1989,3978,2.0
dispute,1989,3978,
resolve,1989,3978,
withdrawal,1989,3979,1.5
dispute,1989,3979,
resolve,1989,3979,
deposit,1989,3980,2.0
dispute,1989,3980,
chargeback,1989,3980,
deposit,1990,3980,2.0
dispute,1990,3980,
resolve,1990,3980,
withdrawal,1990,3981,1.5
dispute,1990,3981,
resolve,1990,3981,
deposit,1990,3982,2.0
dispute,1990,3982,
chargeback,1990,3982,
deposit,1991,3982,2.0
dispute,1991,3982,
resolve,1991,3982,
withdrawal,1991,3983,1.5
dispute,1991,3983,
resolve,1991,3983,
deposit,1991,3984,2.0
dispute,1991,3984,
chargeback,1991,3984,
deposit,1992,3984,2.0
dispute,1992,3984,
resolve,1992,3984,
withdrawal,1992,3985,1.5
dispute,1992,3985,
resolve,1992,3985,
deposit,1992,3986,2.0
dispute,1992,3986,
chargeback,1992,3986,
deposit,1993,3986,2.0
dispute,1993,3986,
resolve,1993,3986,
withdrawal,1993,3987,1.5
dispute,1993,3987,
resolve,1993,3987,
deposit,1993,3988,2.0
dispute,1993,3988,
chargeback,1993,3988,
deposit,1994,3988,2.0
dispute,1994,3988,
resolve,1994,3988,
withdrawal,1994,3989,1.5
dispute,1994,3989,
resolve,1994,3989,
deposit,1994,3990,2.0
dispute,1994,3990,
chargeback,1994,3990,
deposit,1995,3990,2.0
dispute,1995,3990,
resolve,1995,3990,
withdrawal,1995,3991,1.5
dispute,1995,3991,
resolve,1995,3991,
deposit,1995,3992,2.0
dispute,1995,3992,
chargeback,1995,3992,
deposit,1996,3992,2.0
dispute,1996,3992,
resolve,1996,3992,
withdrawal,1996,3993,1.5
dispute,1996,3993,
resolve,1996,3993,
deposit,1996,3994,2.0
dispute,1996,3994,
chargeback,1996,3994,
deposit,1997,3994,2.0
dispute,1997,3994,
resolve,1997,3994,
withdrawal,1997,3995,1.5
dispute,1997,3995,
resolve,1997,3995,
deposit,1997,3996,2.0
dispute,1997,3996,
chargeback,1997,3996,
deposit,1998,3996,2.0
dispute,1998,3996,
resolve,1998,3996,
withdrawal,1998,3997,1.5
dispute,1998,3997,
resolve,1998,3997,
deposit,1998,3998,2.0
dispute,1998,3998,
chargeback,1998,3998,
deposit,1999,3998,2.0
dispute,1999,3998,
resolve,1999,3998,
withdrawal,1999,3999,1.5
dispute,1999,3999,
resolve,1999,3999,
deposit,1999,4000,2.0
dispute,1999,4000,
chargeback,1999,4000,
deposit,2000,4000,2.0
dispute,2000,4000,
resolve,2000,4000,
withdrawal,2000,4001,1.5
dispute,2000,4001,
resolve,2000,4001,
deposit,2000,4002,2.0
dispute,2000,4002,
chargeback,2000,4002,
deposit,2001,4002,2.0
dispute,2001,4002,
resolve,2001,4002,
withdrawal,2001,4003,1.5
dispute,2001,4003,
resolve,2001,4003,
deposit,2001,4004,2.0
dispute,2001,4004,
chargeback,2001,4004,
deposit,2002,4004,2.0
dispute,2002,4004,
resolve,2002,4004,
withdrawal,2002,4005,1.5
dispute,2002,4005,
resolve,2002,4005,
deposit,2002,4006,2.0
dispute,2002,4006,
chargeback,2002,4006,
deposit,2003,4006,2.0
dispute,2003,4006,
resolve,2003,4006,
withdrawal,2003,4007,1.5
dispute,2003,4007,
resolve,2003,4007,
deposit,2003,4008,2.0
dispute,2003,4008,
chargeback,2003,4008,
deposit,2004,4008,2.0
dispute,2004,4008,
resolve,2004,4008,
withdrawal,2004,4009,1.5
dispute,2004,4009,
resolve,2004,4009,
deposit,2004,4010,2.0
dispute,2004,4010,
chargeback,2004,4010,
deposit,2005,4010,2.0
dispute,2005,4010,
resolve,2005,4010,
withdrawal,2005,4011,1.5
dispute,2005,4011,
resolve,2005,4011,
deposit,2005,4012,2.0
dispute,2005,4012,
chargeback,2005,4012,
deposit,2006,4012,2.0
dispute,2006,4012,
resolve,2006,4012,
withdrawal,2006,4013,1.5
dispute,2006,4013,
resolve,2006,4013,
deposit,2006,4014,2.0
dispute,2006,4014,
chargeback,2006,4014,
deposit,2007,4014,2.0
dispute,2007,4014,
resolve,2007,4014,
withdrawal,2007,4015,1.5
dispute,2007,4015,
resolve,2007,4015,
deposit,2007,4016,2.0
dispute,2007,4016,
chargeback,2007,4016,
deposit,2008,4016,2.0
dispute,2008,4016,
resolve,2008,4016,
withdrawal,2008,4017,1.5
dispute,2008,4017,
resolve,2008,4017,
deposit,2008,4018,2.0
dispute,2008,4018,
chargeback,2008,4018,
deposit,2009,4018,2.0
dispute,2009,4018,
resolve,2009,4018,
withdrawal,2009,4019,1.5
dispute,2009,4019,
resolve,2009,4019,
deposit,2009,4020,2.0
dispute,2009,4020,
chargeback,2009,4020,
deposit,2010,4020,2.0
dispute,2010,4020,
resolve,2010,4020,
withdrawal,2010,4021,1.5
dispute,2010,4021,
resolve,2010,4021,
deposit,2010,4022,2.0
dispute,2010,4022,
chargeback,2010,4022,
deposit,2011,4022,2.0
dispute,2011,4022,
resolve,2011,4022,
withdrawal,2011,4023,1.5
dispute,2011,4023,
resolve,2011,4023,
deposit,2011,4024,2.0
dispute,2011,4024,
chargeback,2011,4024,
deposit,2012,4024,2.0
dispute,2012,4024,
resolve,2012,4024,
withdrawal,2012,4025,1.5
dispute,2012,4025,
resolve,2012,4025,
deposit,2012,4026,2.0
dispute,2012,4026,
chargeback,2012,4026,
deposit,2013,4026,2.0
dispute,2013,4026,
resolve,2013,4026,
withdrawal,2013,4027,1.5
dispute,2013,4027,
resolve,2013,4027,
deposit,2013,4028,2.0
dispute,2013,4028,
chargeback,2013,4028,
deposit,2014,4028,2.0
dispute,2014,4028,
resolve,2014,4028,
withdrawal,2014,4029,1.5
dispute,2014,4029,
resolve,2014,4029,
deposit,2014,4030,2.0
dispute,2014,4030,
chargeback,2014,4030,
deposit,2015,4030,2.0
dispute,2015,4030,
resolve,2015,4030,
withdrawal,2015,4031,1.5
dispute,2015,4031,
resolve,2015,4031,
deposit,2015,4032,2.0
dispute,2015,4032,
chargeback,2015,4032,
deposit,2016,4032,2.0
dispute,2016,4032,
resolve,2016,4032,
withdrawal,2016,4033,1.5
dispute,2016,4033,
resolve,2016,4033,
deposit,2016,4034,2.0
dispute,2016,4034,
chargeback,2016,4034,
deposit,2017,4034,2.0
dispute,2017,4034,
resolve,2017,4034,
withdrawal,2017,4035,1.5
dispute,2017,4035,
resolve,2017,4035,
deposit,2017,4036,2.0
dispute,2017,4036,
chargeback,2017,4036,
deposit,2018,4036,2.0
dispute,2018,4036,
resolve,2018,4036,
withdrawal,2018,4037,1.5
dispute,2018,4037,
resolve,2018,4037,
